P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
1.93,-,33.41,-,0.00,-0.07,-,-1.40%,-5.90%,196.50%,40.60%
1.04,-,-,-,0.00,-0.62,-,-16.30%,-17.50%,-23.60%,0.70%
0.83,6.77,6.87,0.68,0.35,5.83,0.61%,13.40%,19.80%,7.60%,0.40%
-,-,-,-,-,-,-,-,-,-,-
1.25,0.74,11.74,0.04,0.00,5.53,-,-,3.40%,88.60%,0.90%
-,-,-,-,-,-,1.28%,-,-,-,-
1.85,-,50.77,-,3.72,-0.05,7.30%,-0.30%,4.00%,11.40%,42.28%
2.23,-,5.29,-,1.06,-0.12,-,-,14.10%,136.60%,0.50%
-,-,-,-,-,-,1.52%,-,-,-,-
,,,,,,,,,,
0.77,-,-,-,0.01,-0.65,-,-11.70%,68.00%,-300.70%,0.10%
,,,,,,,,,,
-,0.53,-,-,0.00,5.27,10.68%,-,37.20%,-,18.01%
,,,,,,,,,,
6.00,12.71,12.97,0.85,0.87,1.13,-,65.80%,26.70%,8771.50%,0.20%
4.38,36.18,20.23,1.81,0.00,0.24,-,13.30%,15.00%,-60.90%,3.60%
,,,,,,,,,,
0.56,-,7.51,-,0.11,-5.96,-,-17.00%,-2.60%,-860.10%,2.10%
,,,,,,,,,,
0.53,-,-,-,0.02,-0.58,-,-21.20%,-19.60%,28.00%,0.40%
-,-,-,-,-,-,1.77%,-,-,-,-
,,,,,,,,,,
7.55,-,-,-,0.00,-2.10,-,-52.00%,5.30%,19.80%,8.90%
,,,,,,,,,,
-,-,-,-,-,-,2.87%,-,-,-,-
,,,,,,,,,,
2.51,33.50,18.98,4.47,0.00,1.64,-,7.80%,7.30%,20.40%,0.10%
-,-,-,-,-,-0.05,-,-,-,-,-
1.19,10.27,10.44,0.49,0.00,0.12,-,12.80%,7.40%,312.30%,23.31%
1.10,-,-,-,0.00,-4.22,-,-150.50%,-,30.10%,0.30%
0.88,1.14,-,-,0.00,6.47,-,103.70%,73.30%,2558.10%,2.00%
10.30,-,-,-,0.00,-0.90,-,-35.70%,-56.50%,62.20%,0.10%
1.33,8.70,6.56,-,6.95,2.04,5.39%,-,5.20%,-42.70%,0.30%
0.74,12.46,6.82,-,0.06,0.34,4.69%,6.10%,11.50%,-46.80%,9.40%
1.49,-,-,-,1.79,-3.04,-,-110.10%,-125.90%,-388.20%,-
0.96,-,-,-,0.00,-1.61,-,-96.50%,-103.80%,-145.60%,0.20%
3.83,-,24.48,-,0.99,-0.49,-,-10.20%,-2.70%,92.90%,3.00%
1.81,-,26.36,-,0.32,-0.23,-,-3.00%,-1.40%,56.20%,0.60%
1.34,6.38,-,-,0.00,3.62,1.39%,24.10%,43.20%,288.00%,1.80%
0.45,5.24,6.83,-,0.06,0.25,-,7.50%,34.30%,-82.70%,21.29%
,,,,,,,,,,
1.61,14.90,10.00,1.47,0.71,2.11,1.59%,10.50%,10.60%,-120.70%,0.20%
2.81,16.94,10.19,0.85,0.18,0.93,-,19.10%,12.70%,356.40%,0.60%
3.72,119.44,-,-,0.01,0.09,-,1.20%,-,-,-
1.39,-,17.59,-,0.78,-0.12,-,-2.00%,1.90%,-382.40%,0.60%
0.75,5.96,6.59,-,0.00,2.34,5.15%,13.10%,26.90%,4.60%,1.00%
,,,,,,,,,,
-,-,-,-,-,-8.70,-,-,-100.80%,29.70%,0.10%
0.48,-,-,-,0.00,-0.23,-,-10.10%,-,48.00%,56.04%
0.42,-,-,-,2.29,-9.39,-,-48.90%,-187.10%,63.90%,7.00%
4.39,-,-,-,0.47,-0.20,-,-70.10%,-,7.60%,6.70%
27.02,-,-,-,1.32,-3.80,-,-161.20%,-88.20%,75.10%,18.49%
2.96,-,-,-,0.00,-4.28,-,-37.60%,-38.70%,40.70%,1.30%
0.45,-,-,-,0.00,-0.50,-,-22.00%,-27.80%,-305.10%,18.10%
1.10,-,-,-,0.61,-2.19,-,-5.80%,9.20%,-,0.70%
0.81,-,-,-,0.10,-0.10,-,-,-20.60%,-,85.84%
1.34,37.58,-,-,0.00,0.28,-,3.60%,-,36.90%,-
-,-,-,-,-,-,2.65%,-,-,-,-
3.22,-,48.80,-,0.00,-0.17,-,-3.30%,15.70%,-490.50%,1.50%
2.48,48.90,15.95,2.88,0.44,0.74,-,5.40%,5.30%,100.90%,3.30%
-,-,-,-,-,-,7.07%,-,-,33.50%,-
-,-,-,-,-,-1.75,-,-,-,-,-
0.58,4.62,6.05,-,2.03,2.02,6.88%,13.10%,22.40%,-22.70%,1.10%
1.08,37.71,13.29,21.18,0.05,0.81,-,3.00%,3.20%,60.10%,1.30%
,,,,,,,,,,
,,,,,,,,,,
1.05,40.74,35.50,-,0.00,0.24,1.21%,1.80%,11.70%,-82.60%,0.30%
4.01,-,-,-,0.12,-1.04,-,-39.00%,-,7.80%,2.80%
0.89,-,-,-,0.81,-1.44,-,-,-22.50%,-,5.80%
0.84,4.10,7.17,-,2.67,1.78,5.49%,23.20%,8.60%,-21.30%,0.20%
6.09,-,-,-,7.67,-4.03,-,-,-140.80%,68.80%,71.90%
-,-,-,-,-,-2.29,-,447.40%,-164.60%,17.80%,0.70%
0.04,-,-,-,0.00,-2.60,-,-56.30%,-,4.60%,54.99%
-,-,-,-,-,-0.82,-,5.30%,-,85.70%,0.10%
16.56,-,22.46,-,0.00,-0.81,-,-14.60%,-19.50%,-666.30%,1.80%
-,-,-,-,-,-,3.78%,-,-,-,-
3.82,15.63,7.36,-,1.05,1.64,-,16.90%,-9.30%,-46.00%,10.50%
0.34,-,-,-,0.00,-7.77,-,-119.30%,-,67.20%,2.90%
,,,,,,,,,,
2.59,-,-,-,0.00,-1.69,-,-60.00%,-,-153.90%,3.10%
0.62,5.53,7.18,0.59,0.24,3.86,6.37%,-,18.20%,17.80%,0.70%
3.79,11.58,8.37,1.97,3.00,2.78,-,37.10%,13.70%,52.90%,1.10%
9.55,91.46,75.93,6.14,1.17,1.01,-,10.80%,6.70%,-15.70%,0.80%
0.90,-,-,-,0.00,-10.33,-,-71.60%,-220.50%,106.20%,22.55%
0.18,2.04,4.72,0.29,0.39,2.75,7.12%,9.10%,28.00%,-73.30%,2.30%
-,-,-,-,-,-,2.13%,-,-,-,-
0.80,-,8.20,-,0.20,-0.16,-,-5.30%,-2.00%,-728.20%,18.44%
1.34,-,-,-,0.01,-0.68,-,-102.90%,-,71.40%,23.85%
7.60,89.28,-,-,0.54,0.10,-,8.70%,5.90%,6.90%,83.53%
1.17,14.91,8.14,2.98,-,0.89,9.95%,-,-,50.70%,1.53%
-,-,-,-,-,-,3.17%,-,-,-,-
0.71,-,-,-,0.00,-1.46,-,-73.60%,-,24.70%,1.20%
0.32,-,-,-,0.00,-2.53,-,-40.00%,-,22.10%,8.76%
1.59,-,-,-,0.10,-1.28,-,-39.90%,-40.40%,22.50%,4.86%
2.63,-,27.06,-,0.62,-0.35,-,-7.30%,-1.80%,-60.50%,2.50%
0.30,-,-,-,0.00,-20.33,-,-98.30%,-110.10%,-56.50%,12.40%
2.27,-,-,-,0.00,-0.02,-,-10.30%,-3.40%,-223.50%,62.23%
0.29,-,-,-,0.00,-1.07,-,-66.10%,-13.70%,180.80%,56.97%
,,,,,,,,,,
-,-,-,-,-,-,0.54%,-,-,-,-
5.06,-,-,-,0.84,-3.16,-,-49.40%,-13.10%,-733.10%,0.10%
6.36,47.45,19.90,8.20,0.43,1.22,1.94%,13.90%,9.70%,85.90%,0.40%
-,-,-,-,-,-90.89,-,-,105.40%,99.00%,0.90%
5.92,-,-,-,1.99,-4.43,-,-236.10%,-65.60%,-5.20%,0.20%
-,-,-,-,-,-,2.74%,-,-,-,-
0.69,8.47,9.01,0.85,0.20,3.17,3.27%,8.40%,16.10%,36.90%,0.20%
5.90,-,26.11,-,1.10,-0.49,-,-68.60%,-81.70%,61.60%,0.30%
-,-,-,-,0.00,-,-,-,-,-,-
1.73,40.32,66.57,-,0.00,0.28,9.87%,4.30%,13.50%,0.40%,0.40%
1.00,-,6.77,-,0.04,-0.47,-,-61.50%,-75.60%,35.40%,0.20%
0.27,-,-,-,2.40,-1.55,-,-,-32.20%,76.10%,0.80%
,,,,,,,,,,
1.55,-,-,-,0.35,-5.94,-,-191.60%,-,69.80%,19.00%
,,,,,,,,,,
1.50,3.05,8.64,-,0.00,15.55,10.85%,58.80%,10.00%,721.20%,10.91%
8.73,-,-,-,0.76,-0.18,-,-128.20%,-67.00%,-67.70%,18.51%
-,-,-,-,-,-2.70,-,-947.40%,-,-12.10%,1.50%
3.17,-,-,-,0.00,-1.52,-,-20.70%,-17.90%,-34.60%,1.72%
4.59,21.02,14.08,2.03,0.00,4.79,5.16%,21.20%,15.10%,-14.50%,2.80%
1.11,-,63.24,-,1.14,-0.52,-,-12.60%,-4.30%,-230.00%,9.90%
-,-,-,-,-,-88.32,-,-,-,98.30%,1.53%
6.67,-,-,-,0.00,-1.30,-,33.00%,-,-327.50%,9.40%
,,,,,,,,,,
0.26,-,-,-,0.01,-0.47,-,-53.60%,-34.90%,-,57.18%
2.27,-,-,-,0.05,-1.18,-,-108.20%,-,-57.40%,28.80%
2.64,-,9.82,-,1.11,-0.15,-,-2.30%,3.10%,-111.70%,0.20%
1.00,9.33,8.34,-,0.07,3.93,2.29%,13.40%,26.00%,-6.30%,0.50%
2.51,13.93,13.35,2.59,0.05,4.48,1.86%,18.90%,17.30%,6.30%,0.10%
1.49,-,-,-,0.00,-0.48,-,-106.00%,-,-18.70%,20.40%
3.10,-,-,-,-,-0.36,-,-,-,-8.60%,32.81%
1.46,-,-,-,0.07,-2.38,-,-61.90%,-56.30%,-1.30%,0.10%
4.10,-,106.83,-,0.00,-0.79,-,-21.30%,-23.30%,16.60%,1.70%
13.48,41.14,23.70,2.94,0.26,10.14,-,33.50%,26.70%,1.70%,0.29%
0.71,-,-,-,0.00,-1.63,-,-42.60%,-,6.10%,5.10%
0.39,-,115.69,-,0.11,-0.91,-,-1.90%,4.30%,-171.60%,6.20%
1.77,8.42,-,-,-,6.98,1.43%,-,-,-2.20%,53.16%
1.31,19.64,-,-,0.00,0.53,-,4.20%,-,-82.20%,-
92.00,-,-,-,50.00,-1.48,-,-272.10%,-,20.00%,2.30%
9.81,121.81,29.20,-,0.00,0.21,-,8.70%,0.00%,192.40%,1.90%
2.76,25.29,16.26,2.53,0.49,1.88,-,11.70%,8.80%,18.70%,0.20%
,,,,,,,,,,
1.04,8850.00,88.50,885.00,0.86,0.00,-,0.90%,-2.00%,-65.90%,29.81%
-,-,-,-,-,-,7.38%,-,-,-,-
,,,,,,,,,,
1.02,-,-,-,0.00,-1.87,-,-61.50%,-,27.20%,0.30%
0.41,-,-,-,0.00,-0.75,-,-114.10%,-,59.80%,2.50%
,,,,,,,,,,
2.03,-,-,-,0.95,-2.67,-,-153.60%,-,53.20%,3.23%
5.30,-,230.71,-,0.21,-0.40,-,-76.70%,-51.00%,39.70%,1.80%
5.40,-,-,-,0.12,-19.38,-,-39.60%,-37.20%,30.90%,0.10%
0.79,7.97,8.78,-,0.25,1.72,3.80%,10.20%,24.70%,-11.80%,1.50%
0.38,-,-,-,0.87,-2.36,-,-34.40%,-17.70%,3.50%,8.30%
3.82,-,78.61,-,0.00,-0.91,-,-14.60%,-15.20%,-2.10%,19.00%
13.51,-,-,-,0.00,-3.52,-,-33.50%,-,-4.80%,0.20%
2.39,29.15,17.36,3.24,0.08,0.48,6.09%,8.30%,9.50%,11.70%,0.74%
1.28,12.66,8.94,0.82,1.92,0.75,-,11.20%,22.70%,-88.90%,12.30%
2.43,-,-,-,0.14,-2.46,-,-33.00%,-29.50%,10.40%,5.50%
1.11,5.83,5.94,0.73,0.02,8.54,3.86%,20.60%,27.50%,36.90%,0.10%
,,,,,,,,,,
0.32,-,-,-,0.00,-4.07,-,-93.70%,-73.90%,-201.40%,2.87%
0.77,27.68,7.27,2.88,1.48,0.42,13.01%,5.30%,3.00%,591.60%,0.50%
0.21,-,-,-,1.27,-2.49,-,-11.00%,-2.00%,-799.90%,5.30%
1.29,7.72,8.66,0.41,5.36,10.43,-,18.70%,3.30%,-37.30%,3.50%
1.11,-,-,-,0.01,-0.54,-,-49.40%,-,-273.10%,0.20%
8.92,-,-,-,0.00,-0.35,-,-66.20%,-60.10%,-36.10%,0.40%
4.99,66.66,43.46,11.49,0.00,0.93,0.90%,7.80%,7.40%,-0.70%,11.90%
1.27,-,27.67,-,0.12,-0.05,-,-1.30%,2.30%,152.70%,13.81%
1.31,368.09,-,-,-,0.05,9.93%,-,-,-,-
2.18,30.57,59.65,-,0.43,2.07,-,7.30%,4.90%,-208.60%,3.56%
17.56,15.80,9.92,0.80,0.00,0.58,-,218.90%,99.70%,23.30%,4.20%
-,-,-,-,-,-,5.29%,-,-,-,-
0.90,8.57,10.32,2.14,0.09,3.25,4.31%,10.70%,22.80%,2.90%,3.70%
1.60,-,-,-,0.27,-0.12,-,-7.20%,-1.50%,-441.50%,49.13%
0.71,-,7.73,-,-,-0.91,13.88%,-,-,-54.50%,22.54%
,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,3.30%,-,-,-,-
0.96,-,13.95,-,0.35,-0.02,-,-0.50%,-0.40%,122.80%,22.99%
2.93,-,-,-,0.00,-3.69,-,-,-157.70%,17.90%,0.62%
2.59,-,22.87,-,0.03,-0.07,-,-4.40%,-6.40%,-63.00%,3.70%
0.85,-,-,-,0.00,-1.69,-,-46.70%,-,-50.80%,11.83%
1.13,-,20.27,-,0.85,-1.06,-,-8.90%,4.20%,-581.70%,1.10%
-,-,-,-,-,-98.12,-,972.10%,-180.80%,-158.90%,2.70%
5.87,-,27.88,-,0.00,-0.29,-,-68.20%,-,62.30%,30.30%
1.59,-,-,-,0.33,-0.78,-,-41.60%,-42.60%,70.50%,-
7.16,37.46,25.61,1.93,0.00,4.69,-,21.70%,19.00%,23.30%,1.20%
,,,,,,,,,,
,,,,,,,,,,
0.53,-,-,-,0.04,-0.59,-,-27.50%,-27.10%,-58.50%,-
0.58,-,-,-,0.22,-0.98,-,-,-28.30%,-,30.10%
0.97,11.68,8.55,1.17,0.98,1.71,1.51%,8.40%,8.80%,-63.20%,21.52%
,,,,,,,,,,
1.21,-,-,-,0.13,-0.95,-,-53.60%,9.60%,-,4.40%
,,,,,,,,,,
2.24,-,-,-,0.00,-0.58,-,-41.30%,-32.30%,-583.10%,1.00%
0.33,-,-,-,0.31,-6.76,-,-41.00%,-24.10%,-234.20%,1.50%
0.54,-,-,-,0.00,-1.11,-,-49.50%,-,-83.50%,0.90%
0.68,-,-,-,0.33,-1.84,-,-59.40%,-76.20%,19.20%,10.68%
1.37,-,-,-,0.06,-0.67,-,-40.20%,-,47.40%,51.64%
8.67,-,-,-,0.00,-0.01,-,-4.40%,-33.50%,161.90%,18.80%
9.80,-,-,-,0.81,-0.66,-,-,1456.10%,44.80%,35.00%
0.89,10.71,-,-,0.23,0.88,-,9.20%,6.80%,388.10%,67.57%
3.89,-,-,-,0.00,-4.40,-,-42.90%,-,-25.20%,0.40%
,,,,,,,,,,
2.18,-,33.85,-,0.00,-1.14,-,-10.10%,-9.10%,-184.40%,0.60%
0.67,-,-,-,0.06,-0.14,-,-2.60%,-6.40%,98.20%,19.73%
-,-,-,-,-,-0.99,-,-,-430.20%,5.50%,0.30%
1.79,-,-,-,0.00,-0.38,-,-,-,-16.80%,7.90%
-,-,-,-,-,-3.29,-,63.30%,-49.80%,-33.60%,1.00%
1.31,35.67,-,-,0.00,0.29,-,3.70%,-,-52.60%,3.96%
1.21,-,-,-,0.54,-0.60,-,-83.80%,-76.70%,24.80%,2.04%
-,-,-,-,-,-0.35,-,-,-,-,-
3.41,-,-,-,0.00,-1.11,-,-37.40%,-44.70%,-9.10%,2.11%
1.05,-,1990.00,-,0.90,-0.67,2.22%,-1.80%,0.80%,-518.40%,0.40%
1.23,-,3.59,-,2.12,-4.32,-,46.00%,2.40%,-257.80%,2.20%
3.42,-,-,-,0.29,-1.68,-,-94.10%,-49.10%,-73.20%,72.75%
-,-,-,-,-,-,0.86%,-,-,-,-
10.84,-,-,-,0.20,-1.76,-,-57.00%,-,-81.20%,0.40%
3.34,-,-,-,0.04,-2.13,-,-42.70%,-64.30%,-118.90%,0.41%
,,,,,,,,,,
-,-,-,-,-,-,5.70%,-,-,-,-
,,,,,,,,,,
0.39,-,2.35,-,0.00,-0.81,-,-61.90%,-47.90%,-53.80%,5.30%
4.16,-,-,-,0.00,-3.19,-,-47.10%,-42.90%,-56.70%,1.80%
,,,,,,,,,,
7.02,495.79,147.40,49.58,1.37,0.12,0.87%,1.40%,2.90%,254.50%,1.50%
2.14,-,-,-,-,-0.10,-,-,-,-,3.73%
-,-,-,-,-,-,3.27%,-,-,-,-
-,-,-,-,-,-0.42,-,3.40%,41.80%,-237.90%,0.40%
0.80,-,-,-,0.00,-14.55,-,-122.00%,-104.30%,-58.30%,2.10%
0.58,-,8.02,-,0.00,-1.91,-,-21.40%,-31.50%,-706.90%,3.00%
,,,,,,,,,,
0.36,-,-,-,0.18,-0.45,-,-48.70%,-23.30%,41.80%,14.75%
1.12,9.07,-,-,0.24,2.01,4.11%,12.20%,13.00%,-145.90%,1.30%
9.27,-,-,-,0.00,-0.12,-,-10.30%,-,-93.20%,1.21%
0.88,10.24,11.57,1.28,0.06,2.94,4.78%,8.80%,16.30%,21.80%,1.70%
0.16,-,-,-,0.16,-1.15,-,-21.60%,-17.70%,82.70%,45.35%
0.59,-,81.06,-,0.89,-0.38,-,-3.20%,3.70%,-147.50%,61.92%
,,,,,,,,,,
3.72,48.80,-,-,0.01,0.21,-,3.50%,-,-135.00%,-
3.98,-,11.13,-,0.00,-0.33,-,-275.10%,-340.30%,72.40%,27.80%
1.92,-,-,-,0.15,-0.53,-,-12.30%,-11.70%,46.60%,3.10%
0.48,-,-,-,0.01,-0.22,-,-8.30%,-9.50%,136.00%,18.31%
0.67,5.42,5.18,0.68,0.34,2.85,3.89%,13.30%,22.20%,44.30%,0.10%
8.24,86.38,56.67,7.45,0.00,0.43,-,11.80%,7.80%,254.80%,0.80%
-,-,-,-,-,-,3.02%,-,-,-,-
0.96,6.66,8.50,1.33,0.05,3.92,8.59%,14.80%,28.90%,-20.80%,0.20%
0.74,1.37,1.94,0.27,0.63,14.71,9.91%,64.90%,38.70%,-0.70%,34.80%
0.36,-,13.62,-,0.00,-2.61,-,-9.10%,-3.80%,-15.90%,0.10%
,,,,,,,,,,
,,,,,,,,,,
7.55,37.06,31.96,1.66,0.00,2.39,-,22.80%,23.90%,25.20%,9.50%
,,,,,,,,,,
3.26,-,-,-,0.21,-0.32,-,-124.20%,-70.80%,-83.20%,75.40%
1.58,24.89,25.55,-,0.62,2.24,4.66%,6.30%,4.80%,-50.10%,0.40%
-,-,-,-,-,-,1.76%,-,-,-,-
2.97,-,-,-,0.12,-4.17,-,-44.60%,-38.20%,-39.80%,9.87%
1.84,-,13.27,-,0.98,-1.60,-,-19.70%,1.00%,-603.80%,0.70%
0.98,-,-,-,0.16,-1.07,-,-,-134.50%,-581.20%,15.21%
-,2.96,6.72,0.15,-,55.24,-,-441.00%,13.40%,-20.40%,0.50%
9.10,18.30,2.81,-,0.68,0.35,-,115.40%,-,411.30%,27.60%
0.86,16.49,8.85,-,0.24,1.43,2.21%,-,14.60%,62.40%,8.70%
0.60,-,-,-,0.09,-0.47,-,-24.70%,-20.90%,-116.10%,11.21%
1.43,-,-,-,0.00,-1.52,-,-7.90%,-5.40%,-248.40%,0.10%
-,52.70,-,-,-,0.20,-,-,-,-61.40%,71.43%
6.91,50.55,-,-,0.01,0.27,-,12.80%,14.10%,-74.20%,15.20%
1.01,-,-,-,-,-2.04,-,-,-,-,8.72%
,,,,,,,,,,
3.80,223.93,-,-,0.00,0.09,-,1.70%,0.40%,560.00%,12.90%
3.14,-,-,-,0.16,-2.22,-,-82.90%,-81.60%,-18.40%,1.60%
-,-,24.67,-,-,-3.58,-,131.20%,-36.40%,95.40%,3.19%
,,,,,,,,,,
3.43,-,-,-,0.19,-0.33,-,-22.80%,-17.40%,-63.70%,0.90%
2.55,-,-,-,0.00,-2.08,-,-37.70%,-35.70%,-12.50%,10.33%
-,-,-,-,-,-,-,-,-,-,-
0.63,47.18,-,-,0.00,0.26,-,1.60%,12.20%,-31.50%,1.00%
19.68,164.58,75.86,8.57,0.91,0.69,-,13.90%,8.20%,-48.80%,0.10%
2.88,-,-,-,0.00,-2.29,-,-45.30%,-,-23.90%,14.90%
-,-,-,-,-,-,2.87%,-,-,-,-
0.46,-,5.31,-,1.15,-0.72,3.41%,-6.50%,3.80%,-,13.10%
5.95,17.45,12.67,2.27,1.40,10.43,2.23%,37.30%,17.50%,-5.00%,0.10%
3.09,-,-,-,0.00,-1.86,-,-89.60%,-,-47.70%,9.70%
2.92,-,40.33,-,0.26,-0.07,-,-6.30%,-1.70%,-21.40%,0.20%
2.71,-,-,-,0.00,-2.18,-,-22.00%,-,-8.90%,3.32%
-,-,-,-,-,-,2.79%,-,-,-,-
0.62,-,-,-,0.00,-3.68,-,-48.30%,-53.70%,3.50%,9.70%
,,,,,,,,,,
1.74,-,17.93,-,0.34,-0.42,-,-5.80%,-6.30%,34.40%,0.90%
,,,,,,,,,,
0.71,7.88,-,-,0.31,1.67,2.73%,9.10%,26.70%,-12.60%,2.00%
-,-,-,-,-,-1.02,-,-204.90%,-72.80%,-25.40%,38.60%
-,-,-,-,-,-17.21,-,228.10%,-179.20%,59.60%,3.40%
2.26,23.58,10.20,3.00,1.16,2.33,1.46%,10.10%,6.90%,-23.80%,0.10%
1.29,15.68,10.28,1.57,0.00,0.31,4.55%,8.60%,3.50%,182.60%,4.90%
0.74,5.95,6.59,-,0.10,2.77,1.46%,13.20%,28.30%,-1.50%,5.00%
0.79,86.41,34.56,3.46,0.29,0.06,-,1.00%,1.90%,-58.10%,1.20%
,,,,,,,,,,
5.36,24.33,23.18,4.96,0.79,5.61,0.76%,23.80%,17.70%,-18.20%,1.10%
0.34,-,-,-,0.44,-1.41,-,-63.30%,-60.60%,2.30%,2.60%
1.33,14.42,13.57,-,0.06,5.33,1.56%,10.30%,18.40%,-18.40%,0.40%
-,-,-,-,-,-,0.60%,-,-,-,-
-,-,-,-,-,-,0.97%,-,-,-,-
0.76,12.46,-,-,0.01,1.39,-,6.40%,10.90%,70.20%,1.50%
,,,,,,,,,,
1.49,38.03,17.45,-,1.11,2.61,0.89%,3.70%,5.50%,-124.60%,0.20%
,,,,,,,,,,
1.18,-,-,-,0.33,-0.69,-,-122.60%,-107.10%,21.40%,9.20%
1.39,5.63,8.61,1.13,0.32,6.88,1.14%,27.80%,17.40%,-10.10%,3.20%
1.55,-,63.59,-,1.00,-0.30,-,-8.20%,0.90%,10.50%,7.90%
4.79,25.53,27.54,-,0.24,6.09,-,20.30%,15.20%,99.10%,4.20%
1.91,-,14.66,-,0.44,-1.53,-,-6.70%,-5.00%,147.50%,0.40%
-,-,-,-,-,-,1.68%,-,-,-,-
5.27,-,-,-,0.00,-1.48,-,-22.40%,-24.70%,77.90%,0.30%
0.08,0.32,-,-,0.00,11.51,-,25.70%,15.40%,57.10%,-
5.33,-,-,-,0.00,-1.63,-,-16.70%,-18.20%,-6.20%,18.88%
0.89,7.88,8.59,1.31,0.45,2.43,5.00%,11.80%,19.40%,29.40%,2.10%
0.67,-,-,-,0.00,-0.15,-,-8.40%,-12.10%,93.40%,2.70%
-,-,-,-,-,-,3.31%,-,-,-,-
-,-,-,-,-,-,4.53%,-,-,-,-
-,-,-,-,-,-9.24,10.20%,-,-,-,20.45%
,,,,,,,,,,
-,33.65,14.23,0.86,-,1.04,-,-65.50%,14.50%,-31.30%,0.40%
-,12.34,10.96,1.02,-,1.84,-,-120.00%,40.70%,-6.50%,3.90%
0.28,5.28,-,0.28,0.10,0.25,-,5.50%,1.60%,-78.70%,12.67%
-,-,-,-,-,-,2.95%,-,-,-,-
2.33,-,-,-,0.00,-1.15,-,-150.70%,-,51.20%,1.90%
3.20,-,17.41,-,1.98,-2.84,-,-93.10%,-22.70%,-392.70%,0.20%
-,-,-,-,-,-,0.36%,-,-,-,-
1.07,-,-,-,0.00,-1.27,-,-131.60%,-168.30%,34.60%,36.75%
6.28,-,98.73,-,1.52,-0.68,-,-15.60%,-7.10%,83.00%,77.85%
2.31,-,-,-,-,-0.40,-,-,-,-,-
,,,,,,,,,,
1.17,33.45,34.90,4.18,1.07,0.36,4.95%,3.70%,4.30%,-31.40%,0.10%
0.54,13.11,-,-,0.27,0.09,-,4.00%,3.90%,-82.60%,67.40%
5.39,28.84,14.11,0.88,0.49,4.77,-,21.90%,13.80%,52.90%,0.80%
0.43,-,-,-,0.00,-18.21,-,-77.10%,-83.60%,-40.60%,4.40%
1.39,-,-,-,-,-18.62,-,-,-,-,-
,,,,,,,,,,
-,-,-,-,-,-,1.09%,-,-,-,-
1.95,31.52,10.40,4.10,0.02,0.26,7.21%,6.20%,7.70%,544.70%,0.20%
2.54,580.56,-,-,0.05,0.02,-,2.20%,-,-51.80%,0.02%
0.31,-,-,-,0.11,-1.24,-,-40.80%,-17.90%,-352.10%,0.80%
0.68,5.74,8.55,0.48,0.00,0.83,5.01%,12.80%,24.60%,-2.00%,1.70%
13.62,-,-,-,2.41,-0.38,-,-244.80%,-320.40%,72.70%,38.99%
,,,,,,,,,,
0.43,-,-,-,0.00,-0.56,-,-13.10%,-19.30%,42.10%,46.85%
5.32,-,-,-,0.00,-2.06,-,-232.60%,-297.20%,-105.20%,30.42%
11.38,25.88,23.63,3.12,0.24,4.15,3.32%,46.90%,36.20%,8.80%,10.70%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.13,-,-,-,0.15,-0.61,-,-3.80%,-,77.00%,30.23%
5.94,-,-,-,0.25,-0.60,-,-51.30%,-63.50%,41.70%,3.40%
2.54,-,25.65,-,0.01,-0.02,-,-0.50%,-0.10%,-232.90%,11.80%
0.66,-,5.29,-,-,-0.30,17.78%,-,-,-,22.94%
0.21,-,-,-,0.00,-1.81,-,-34.90%,-,1.30%,5.96%
2.10,9.87,15.97,-,0.43,2.46,-,32.10%,20.70%,-28.50%,1.50%
,,,,,,,,,,
,,,,,,,,,,
2.38,15.99,12.66,0.50,0.00,4.67,1.61%,15.70%,15.90%,-28.50%,47.54%
5.64,91.17,62.34,6.08,0.00,0.51,0.52%,6.00%,6.70%,-4.30%,19.70%
0.41,-,-,-,0.00,-2.84,-,-,-,47.90%,3.50%
1.90,-,-,-,0.00,-2.43,-,-42.70%,-,-109.10%,9.63%
5.64,15.06,21.92,-,0.00,7.64,1.20%,37.30%,43.40%,-28.90%,0.20%
-,-,-,-,-,-,1.32%,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,1.89%,-,-,-,-
,,,,,,,,,,
-,-,-,-,-,-0.13,3.74%,86.90%,4.90%,60.50%,1.30%
0.68,-,10.61,-,0.06,-0.66,-,-21.50%,-20.50%,-68.70%,36.67%
15.45,-,41.43,-,1.73,-12.69,-,-197.80%,-35.10%,-386.80%,0.20%
1.46,5.69,6.66,-,1.15,6.16,2.28%,29.00%,11.70%,-4.80%,6.80%
1.95,16.68,20.08,0.83,0.22,0.30,-,12.40%,11.20%,-15.90%,0.40%
1.45,-,-,-,0.00,-2.42,-,-57.10%,-,86.30%,2.40%
2.98,57.15,42.97,11.43,0.00,0.31,-,15.30%,19.60%,-54.90%,0.10%
3.18,-,-,-,0.00,-2.42,-,-38.30%,-,6.00%,0.30%
,,,,,,,,,,
0.87,-,-,-,-,-0.05,-,-,-,-,85.86%
1.26,22.66,-,-,0.00,0.73,2.41%,5.70%,19.10%,-39.50%,0.10%
