,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
EMCG,1.37,92.89,-,-,0.00,0.11,-,2.00%,-,-,23.45%
PASG,0.31,-,-,-,0.00,-2.34,-,-60.50%,-,20.30%,8.96%
ASPI,0.85,-,-,-,0.00,-0.18,-,-,-,-,21.30%
LSBK,0.81,10.69,-,-,0.00,1.07,6.27%,7.80%,27.70%,57.50%,0.90%
LTRX,2.46,-,9.76,-,0.25,-0.13,-,-6.10%,-4.10%,8.80%,4.00%
SEAC,0.67,-,-,-,0.00,-4.60,-,-34.60%,-36.70%,213.90%,6.60%
STXV,-,-,-,-,-,-,1.62%,-,-,-,-
MCAA,1.63,68.18,-,-,0.01,0.16,-,1.70%,-,577.40%,-
FRBNU,,,,,,,,,,,
NVX,1.31,-,-,-,-,-0.39,-,-,-,-,-
PBBK,,,,,,,,,,,
AUUD,1.38,-,-,-,0.46,-0.55,-,-121.70%,-,-5.70%,13.90%
TRUE,1.08,-,-,-,0.00,-1.40,-,-57.00%,-62.40%,-70.60%,2.80%
ULTA,10.24,16.76,15.34,1.20,0.00,24.59,-,65.60%,63.10%,9.10%,0.10%
SNT,0.86,8.03,-,-,0.00,0.17,-,10.90%,10.30%,258.80%,47.90%
KRMA,-,-,-,-,-,-,0.80%,-,-,-,-
UPLD,0.56,-,3.03,-,3.08,-5.88,-,-68.90%,-4.70%,-498.10%,8.00%
GPP,-,7.09,-,0.47,-,1.73,14.82%,-,77.30%,-4.30%,0.80%
SATS,0.38,11.80,43.51,2.36,0.42,1.38,-,3.30%,2.50%,-67.30%,6.20%
EDTX,,,,,,,,,,,
TDSB,-,-,-,-,-,-,1.02%,-,-,-,-
UPWK,3.54,-,14.11,-,1.23,-0.37,-,-18.70%,-11.50%,166.00%,0.80%
USBF,,,,,,,,,,,
BSRR,0.79,6.94,6.64,0.87,0.28,2.33,5.68%,11.60%,22.60%,19.30%,9.50%
RILYT,,,,,,,,,,,
PPIH,1.43,15.12,-,-,0.26,0.68,-,-,-,8.00%,5.30%
STTK,0.77,-,-,-,0.00,-2.31,-,-51.90%,-58.60%,15.70%,19.34%
VNDA,0.63,21.59,-,0.60,0.00,0.28,-,3.10%,0.20%,149.40%,3.40%
GTR,,,,,,,,,,,
KRT,2.07,13.24,9.64,-,0.33,1.19,-,18.10%,12.70%,34.80%,71.20%
PACW,0.35,-,3.78,-,2.60,-7.86,0.59%,-29.50%,23.90%,-,1.10%
CRKN,0.60,-,-,-,0.61,-0.85,-,-,-,-,22.95%
VOXX,0.69,-,-,-,0.12,-1.18,-,-8.00%,-8.10%,-804.10%,41.64%
GIGM,0.32,-,-,-,-,-0.25,-,-,-6.20%,-,45.56%
AHI,1.72,-,-,-,0.32,-0.34,-,-,-228.50%,-,-
WBND,-,-,-,-,-,-,2.26%,-,-,-,-
AGNCL,2.07,-,-,-,-,-,9.01%,-,-,-,-
SENEA,0.63,7.89,-,-,0.75,6.16,-,8.40%,7.50%,27.80%,13.14%
ASPS,-,-,6.58,-,-,-3.26,-,49.70%,-30.60%,8.10%,0.50%
CRBU,0.95,-,-,-,0.00,-1.78,-,-34.60%,-35.40%,-45.40%,1.30%
INTU,6.49,51.32,25.66,3.22,0.38,7.91,0.77%,13.60%,9.00%,17.60%,0.20%
CRWD,25.46,-,52.74,-,0.51,-0.79,-,-14.40%,-9.60%,-10.50%,0.70%
SBFM,0.68,-,-,-,0.00,-1.24,-,-88.30%,-126.00%,67.00%,17.20%
GGR,2.33,-,-,-,1.35,-0.45,-,-42.60%,-42.50%,80.40%,32.44%
AMAM,3.65,-,-,-,0.00,-1.77,-,-,-66.50%,63.20%,-
ARVL,0.04,-,-,-,0.19,-16.58,-,-19.30%,-,90.40%,44.99%
INDB,0.72,7.65,8.80,3.06,0.04,5.94,4.84%,9.50%,17.40%,21.40%,0.40%
NOVN,-,-,-,-,-,-1.35,-,-616.80%,-200.60%,23.90%,0.45%
DXR,1.43,11.09,-,-,-,0.87,-,-,-,11.00%,67.94%
BCDA,19.67,-,-,-,0.00,-0.65,-,-274.30%,-242.90%,10.90%,2.30%
IPWR,4.38,-,-,-,0.00,-1.27,-,-41.90%,-41.00%,-32.20%,13.30%
AMD,3.69,519.79,30.35,58.14,0.00,0.24,-,0.70%,2.40%,-115.50%,0.50%
PLUR,1.77,-,-,-,1.22,-0.92,-,-130.00%,-80.50%,36.80%,15.23%
BRAC,,,,,,,,,,,
ICUI,1.95,-,19.86,-,0.79,-1.92,-,-2.20%,-0.10%,74.60%,1.50%
CLMT,-,-,8.91,-,-,-0.51,-,-,5.90%,129.70%,0.90%
BCSA,-,46.79,-,-,-,0.23,-,-,-,-,26.90%
CFIVU,,,,,,,,,,,
ZBRA,4.76,34.08,14.73,8.75,0.72,7.86,-,15.10%,9.40%,-24.40%,0.60%
SPPI,8.46,-,8.66,-,1.07,-0.36,-,-209.60%,-128.50%,72.70%,1.60%
SNPS,12.13,78.44,37.81,4.61,0.00,5.93,-,16.30%,18.50%,-6.60%,0.20%
FYT,-,-,-,-,-,-,1.54%,-,-,-,-
CLNE,1.27,-,-,-,0.21,-0.33,-,-10.20%,-6.20%,-59.90%,0.60%
SSYS,1.05,-,35.41,-,0.00,-0.45,-,-3.20%,-2.40%,-3.20%,14.31%
VHNAU,,,,,,,,,,,
BHF,0.49,-,2.41,-,0.55,-18.77,-,-18.10%,1.90%,-138.50%,1.04%
KRBP,6.59,-,-,-,0.00,-73.73,-,-238.10%,-,-86.60%,6.60%
SONM,2.06,-,-,-,0.00,-0.28,-,-38.90%,-68.40%,101.50%,53.40%
FBNC,0.97,8.80,9.09,1.09,0.47,3.51,2.85%,11.60%,25.00%,-61.40%,0.80%
PIO,-,-,-,-,-,-,0.94%,-,-,-,-
SGBX,0.85,-,-,-,0.60,-0.81,-,-68.70%,-36.10%,-320.50%,9.60%
AKLI,0.95,-,-,-,0.18,-0.17,-,-104.30%,-71.20%,21.20%,11.90%
QRMI,-,-,-,-,-,-,12.31%,-,-,-,-
ORRF,0.83,8.53,6.08,-,0.14,2.15,4.37%,8.10%,34.80%,51.20%,1.10%
SCZ,-,-,-,-,-,-,1.92%,-,-,-,-
TWST,1.22,-,-,-,0.00,-3.76,-,-27.80%,-27.80%,8.20%,1.00%
RUSHA,1.62,7.81,11.20,-,0.78,6.85,1.57%,22.80%,12.60%,0.20%,0.40%
INGN,0.90,-,-,-,0.00,-3.92,-,-28.00%,-28.80%,-41.60%,0.20%
LWAY,1.80,34.88,12.24,3.49,0.12,0.17,-,5.40%,2.60%,195.20%,27.50%
INBS,0.53,-,-,-,0.28,-10.60,-,-142.40%,-126.30%,-219.00%,1.90%
ATAK,,,,,,,,,,,
ULH,1.54,4.77,4.63,1.59,0.81,5.75,1.53%,35.70%,22.60%,-39.50%,74.55%
CARA,1.35,-,-,-,0.00,-1.57,-,-49.30%,-55.10%,4.60%,0.50%
WCBR,-,-,-,-,-,-,0.02%,-,-,-,-
FYX,-,-,-,-,-,-,1.11%,-,-,-,-
OSIS,3.01,24.76,16.79,3.10,0.54,4.82,-,12.90%,9.80%,-47.40%,7.30%
ACON,4.57,-,-,-,0.00,-1.02,-,-,-,-,2.40%
MCSE,,,,,,,,,,,
MPB,0.71,6.63,6.74,-,0.12,3.44,3.51%,10.80%,22.80%,-0.80%,1.70%
SAGAU,,,,,,,,,,,
AMOT,2.51,27.59,14.65,0.92,1.03,1.32,0.33%,10.00%,5.60%,143.80%,11.00%
FUTU,1.82,11.57,9.50,7.37,0.15,3.19,-,17.10%,13.50%,119.50%,16.41%
SPOK,1.41,7.71,13.45,-,0.00,1.55,10.44%,19.80%,12.30%,142.00%,1.80%
HCVI,0.70,43.73,-,-,0.00,0.23,-,3.00%,-,-76.40%,-
PTRA,0.99,-,-,-,0.66,-1.91,-,-85.40%,-32.90%,-378.30%,0.20%
PBFS,0.82,10.78,-,-,0.00,0.79,-,8.00%,16.40%,1894.70%,55.65%
LSTA,0.51,-,-,-,0.00,-11.05,-,-79.70%,-,26.00%,0.90%
ZS,36.81,-,67.60,-,2.16,-2.28,-,-62.90%,-21.70%,44.40%,1.00%
ICU,-,-,-,-,-,-2.13,-,61.90%,-,-405.90%,80.90%
AIRR,-,-,-,-,-,-,0.17%,-,-,-,-
EFOI,2.38,-,-,-,0.57,-0.96,-,-430.10%,-210.70%,81.20%,1.10%
NXL,1.22,-,-,-,0.11,-0.29,-,-57.30%,-29.20%,-90.10%,9.60%
NATH,-,15.54,-,-,-,4.51,2.85%,-37.20%,44.30%,53.20%,1.30%
CURI,0.45,-,-,-,0.00,-0.81,-,-34.80%,-47.30%,51.40%,0.40%
IVCPU,,,,,,,,,,,
WINT,0.15,-,-,-,2.14,-53.94,-,-262.30%,-,66.80%,0.80%
TGVC,,,,,,,,,,,
PCH,1.67,17.79,28.76,3.56,0.47,2.62,3.87%,8.50%,11.20%,-91.40%,0.60%
MCAAU,,,,,,,,,,,
MNOV,1.55,-,-,-,0.00,-0.28,-,-18.90%,-,13.90%,2.98%
PALI,0.42,-,-,-,0.00,-12.48,-,-115.70%,-,95.80%,0.30%
PDCO,2.30,13.02,11.15,2.79,0.60,2.00,3.99%,18.70%,5.90%,-4.80%,1.00%
PHAR,3.87,-,-,-,-,-0.05,-,-,-,-,-
LPRO,6.05,22.67,20.80,27.31,0.71,0.45,-,26.10%,19.60%,-44.60%,5.10%
TENKU,,,,,,,,,,,
MCOM,-,-,-,-,0.97,-70.42,-,-,-,-,8.40%
NYMT,0.74,-,8.44,-,2.80,-2.60,16.39%,-18.30%,-7.40%,113.00%,1.47%
EBIZ,-,-,-,-,-,-,0.09%,-,-,-,-
CARM,0.74,-,-,-,0.02,-3.83,-,-,-13.90%,-,0.10%
BRID,0.86,2.41,-,-,0.04,5.03,-,40.90%,35.10%,203.60%,80.72%
UONE,1.18,9.18,-,-,-,0.71,-,-,-,-69.60%,17.24%
BXRX,-,-,-,-,-,-156.16,-,295.20%,332.20%,96.10%,0.30%
PPHP,,,,,,,,,,,
FIVR,,,,,,,,,,,
VIGL,2.00,-,-,-,0.00,-2.12,-,-40.60%,-,10.70%,10.15%
DXYN,0.52,-,-,-,3.56,-2.11,-,-78.60%,-21.20%,52.10%,0.60%
SANG,0.28,-,-,-,-,-3.33,-,-,-,-,21.94%
BOTZ,-,-,-,-,-,-,0.17%,-,-,-,-
USVM,-,-,-,-,-,-,1.64%,-,-,-,-
BNOX,0.38,-,-,-,-,-2.29,-,-,-,-,-
ENTG,5.09,4153.08,29.89,832.28,1.83,0.03,0.37%,-0.20%,4.90%,-164.10%,0.20%
IMTX,3.49,-,-,-,0.07,-1.04,-,-41.70%,11.20%,-119.10%,26.02%
AZTA,1.04,-,254.39,-,0.00,-0.34,0.92%,-,-0.80%,-,1.10%
NUZE,1.33,-,-,-,0.00,-15.78,-,-117.40%,-117.60%,54.60%,37.11%
MGEE,2.37,24.22,20.04,5.77,0.67,2.98,2.26%,10.00%,6.20%,-9.70%,0.19%
SFST,0.64,8.02,13.03,1.00,0.12,2.96,-,8.20%,26.80%,-66.10%,1.30%
ESQ,1.94,10.05,9.07,-,0.00,4.28,1.16%,22.70%,28.80%,123.70%,7.40%
LUCD,5.61,-,-,-,1.73,-1.60,-,-245.20%,-200.60%,-15.10%,80.40%
ITRN,3.05,12.62,9.10,0.81,0.06,1.82,2.62%,-,29.20%,-,28.50%
EMB,-,-,-,-,-,-,4.93%,-,-,-,-
DISA,,,,,,,,,,,
GERN,5.53,-,-,-,0.16,-0.35,-,-91.40%,-105.70%,22.70%,0.10%
GDRX,2.75,-,18.43,-,0.79,-0.12,-,-6.00%,-0.50%,-127.70%,1.80%
PLXS,2.14,15.11,14.36,1.86,0.41,6.05,-,15.20%,10.20%,53.30%,0.90%
NCACU,,,,,,,,,,,
NKSH,1.20,6.19,9.22,-,0.00,4.30,5.49%,20.40%,33.00%,-4.80%,3.12%
SYM,938.50,-,239.11,-,0.00,-0.35,-,-368.70%,-,-123.80%,1.60%
DNAB,1.32,61.43,-,-,0.00,0.17,-,2.20%,-,-,2.50%
DHCNL,,,,,,,,,,,
ICAD,1.03,-,-,-,0.00,-0.55,-,-38.20%,-39.60%,-6.20%,0.70%
MACA,4.47,124.46,-,-,0.00,0.08,-,1.20%,-,274.50%,11.49%
LEGH,1.19,7.12,7.39,-,0.02,2.73,-,18.30%,16.50%,-0.90%,7.20%
RUN,0.60,299.17,-,-,1.39,0.06,-,0.30%,-4.40%,-166.40%,1.70%
CSQ,1.01,-,-,-,-,-3.82,8.97%,-,-,-,0.15%
BRLIU,,,,,,,,,,,
GLDI,-,-,-,-,-,-,12.87%,-,-,-,-
KPTI,-,-,-,-,-,-1.80,-,198.50%,-49.80%,43.70%,1.40%
POAI,0.75,-,-,-,0.00,-6.92,-,-99.70%,-119.40%,15.80%,1.80%
ATMVU,267.95,-,-,-,-,-,-,-,-,-,-
OTECU,,,,,,,,,,,
ILLM,0.90,1600.00,-,-,0.09,0.00,-,0.20%,-5.70%,15.00%,11.89%
YMAB,3.35,-,-,-,0.00,-1.69,-,-64.80%,-86.80%,77.20%,12.34%
OMH,-,-,-,-,-,-0.12,-,-,340.90%,-,65.11%
TCOM,1.29,111.67,17.83,-,0.41,0.28,-,1.30%,-1.00%,317.40%,4.00%
EWCZ,8.84,189.45,32.28,-,4.02,0.09,-,6.40%,20.20%,-135.70%,0.60%
SGLY,0.72,-,-,-,0.32,-1.17,-,-83.50%,-70.50%,-20.40%,0.79%
HTLD,1.45,9.68,14.25,0.73,0.42,1.64,0.50%,15.30%,11.10%,-24.90%,1.30%
VTRU,1.15,19.66,1.40,1.38,0.89,0.77,-,6.40%,7.10%,60.30%,7.20%
BSY,24.61,94.34,48.83,-,2.73,0.51,0.41%,29.70%,8.00%,-18.70%,21.80%
GPAC,,,,,,,,,,,
LESL,-,14.53,10.63,1.50,-,0.64,-,-50.80%,32.20%,-321.30%,1.50%
IGTAU,,,,,,,,,,,
CGEN,1.32,-,-,-,0.00,-0.39,-,-42.00%,-45.60%,4.00%,12.00%
VTGN,1.34,-,-,-,0.02,-0.31,-,-158.20%,-73.90%,11.10%,0.30%
PTRS,,,,,,,,,,,
XPDBU,,,,,,,,,,,
OPAL,-,98.75,3.51,-,-,0.06,-,-,-0.30%,65.10%,38.20%
CONXU,,,,,,,,,,,
CGC,0.30,-,-,-,-,-4.36,-,-,-,-,33.53%
SSRM,0.83,19.90,15.91,-,0.11,0.73,1.93%,4.40%,6.10%,-52.90%,0.60%
TLGYU,,,,,,,,,,,
PTH,-,-,-,-,-,-,-,-,-,-,-
LICN,1.07,6.52,-,-,0.00,0.30,-,-,-,-2.80%,66.86%
NODK,1.14,-,-,-,0.00,-2.77,-,-23.20%,-21.40%,-323.00%,66.50%
GPCR,3.20,-,-,-,0.00,-1.63,-,-,-,2.80%,-
VCSH,-,-,-,-,-,-,2.54%,-,-,-,-
AEIS,3.39,18.99,16.73,1.90,0.34,5.22,0.40%,19.00%,14.00%,-13.90%,0.10%
BHAT,0.77,-,-,-,0.22,-1.23,-,-33.50%,-61.50%,-441.50%,31.58%
TOWN,0.93,9.60,10.41,-,0.13,2.49,4.18%,9.80%,18.90%,16.00%,5.10%
ARTEU,,,,,,,,,,,
DTOC,,,,,,,,,,,
ZTEK,6.34,-,-,-,-,-0.13,-,-,-,-,5.02%
TMKR,8.31,-,-,-,0.06,-0.05,-,0.30%,-,-144.30%,-
BIOC,0.53,-,-,-,0.83,-29.10,-,-,-281.90%,-209.10%,-
ITRI,2.62,-,27.92,-,0.39,-0.50,-,-2.00%,-0.10%,-,0.50%
DCGO,3.27,48.11,24.05,1.55,0.04,0.18,-,7.70%,10.00%,-136.80%,0.80%
BSBK,0.75,16.60,22.86,-,0.00,0.48,-,4.60%,14.30%,-24.70%,65.29%
SVVC,0.20,-,-,-,-,-8.83,-,-,-,-,15.79%
CIZN,1.69,7.99,-,-,0.44,1.56,7.71%,25.20%,57.70%,-44.10%,15.68%
AGEN,-,-,-,-,-,-0.81,-,702.50%,650.10%,-15.00%,8.21%
JAQCU,,,,,,,,,,,
PYPL,3.53,26.27,10.92,1.67,0.55,2.36,-,13.50%,9.30%,61.40%,0.20%
ERIE,7.76,40.76,28.33,4.08,0.00,5.41,2.16%,22.50%,20.60%,25.70%,0.80%
LIVBU,,,,,,,,,,,
WNW,0.43,-,-,-,0.30,-0.14,-,-,-,-,33.20%
ECX,-,-,-,-,-,-0.79,-,-,-108.80%,-,-
ZXYZ.A,,,,,,,,,,,
OP,0.01,-,-,-,0.00,-0.60,200.70%,-3.90%,-0.40%,-,5.74%
ALXO,1.14,-,-,-,0.04,-3.17,-,-46.70%,-,-22.30%,2.20%
CFB,0.76,8.19,7.28,-,0.02,1.23,-,10.00%,26.60%,-0.60%,0.50%
STKS,3.30,17.88,8.37,14.90,1.03,0.40,-,19.90%,11.30%,-14.10%,21.30%
RYAAY,3.55,17.02,11.87,-,0.80,6.19,-,17.30%,-1.40%,309.40%,9.10%
AGIL,0.79,-,-,-,1.93,-1.10,-,-73.10%,-4.50%,-483.10%,6.90%
ZI,4.30,98.53,21.26,5.20,0.53,0.25,-,4.60%,2.40%,616.00%,1.50%
BWFG,0.73,4.61,6.58,-,0.28,5.09,3.41%,16.50%,25.60%,27.50%,5.10%
VCNX,8.49,-,-,-,0.08,-0.45,-,-324.80%,-368.60%,16.10%,1.80%
NCAC,,,,,,,,,,,
PFIS,0.88,8.07,8.99,-,0.10,5.00,4.06%,11.50%,25.50%,-21.10%,1.20%
PYR,8.68,-,-,-,0.41,-0.20,-,-160.90%,-100.10%,-45.40%,46.14%
MSGM,0.84,-,-,-,0.02,-20.18,-,-304.00%,-,82.10%,54.93%
PODD,37.70,-,128.51,-,2.78,-0.00,-,0.10%,1.70%,-14.70%,0.10%
CODX,0.29,-,-,-,0.00,-1.06,-,-25.10%,-12.60%,-157.80%,0.90%
WABC,1.64,7.54,7.66,2.51,0.00,5.20,4.29%,23.30%,29.30%,79.00%,3.96%
JD,1.69,18.40,9.30,0.80,0.21,1.75,1.93%,9.40%,3.90%,305.10%,6.05%
REUN,0.31,-,-,-,0.00,-3.94,-,-121.30%,-55.20%,17.30%,28.57%
MRVI,3.10,6.17,31.68,-,1.04,1.99,-,-,47.80%,-100.10%,0.40%
LRND,,,,,,,,,,,
STRC,0.47,-,-,-,0.00,-1.05,-,-,-119.90%,-,3.90%
MGRM,6.67,-,-,-,-,-0.32,-,-,-,-,-
FENC,-,-,27.89,-,-,-0.99,-,-,-100.80%,-60.40%,0.80%
LCAAU,,,,,,,,,,,
FTEK,0.93,-,-,-,0.00,-0.03,-,-1.90%,-3.50%,58.50%,22.17%
RTC,,,,,,,,,,,
FRTX,0.22,-,-,-,0.00,-5.14,-,-145.40%,-299.10%,67.90%,0.58%
NAVI,0.67,4.26,5.07,0.57,21.35,3.60,4.17%,16.90%,0.90%,-48.80%,2.80%
LOOP,4.37,-,28.18,-,0.10,-0.45,-,-66.80%,-57.60%,137.90%,0.60%
AEY,0.84,-,-,-,0.18,-0.07,-,-8.10%,10.60%,-94.10%,38.84%
ARWR,7.84,-,-,-,0.00,-1.43,-,-35.80%,-45.70%,9.50%,3.40%
HNNAZ,,,,,,,,,,,
OCEA,0.63,-,-,-,0.02,-0.07,-,-0.90%,-,178.60%,76.89%
KE,1.24,9.92,9.32,-,0.58,2.53,-,9.80%,7.70%,21.20%,3.00%
CKPT,-,-,-,-,-,-5.98,-,633.20%,299.10%,55.00%,3.00%
IBRX,-,-,-,-,-,-1.05,-,94.40%,-154.60%,-5.10%,72.71%
UPXI,1.48,-,-,-,0.76,-0.26,-,-12.90%,-4.30%,-779.70%,14.20%
HLNE,6.24,25.94,15.15,1.73,0.51,2.59,2.65%,-,29.40%,124.90%,3.50%
HYPR,0.93,-,-,-,0.00,-0.87,-,-47.20%,-59.70%,49.20%,2.20%
TRDA,1.55,-,-,-,0.00,-2.54,-,-34.20%,-,70.30%,1.40%
LVRO,0.79,23.83,7.62,-,0.01,0.24,-,3.30%,-,-393.20%,9.75%
MGTX,3.69,-,-,-,0.79,-2.80,-,-,-61.70%,10.50%,10.05%
FEMS,-,-,-,-,-,-,4.95%,-,-,-,-
FAAR,-,-,-,-,-,-,6.51%,-,-,-,-
UEVM,-,-,-,-,-,-,4.22%,-,-,-,-
PSTX,1.33,-,-,-,0.37,-1.08,-,-,-24.60%,-,14.80%
YTEN,12.00,-,-,-,0.00,-2.84,-,-243.40%,-309.30%,-11.00%,1.90%
OHAA,,,,,,,,,,,
BMR,-,-,-,-,-,-0.10,-,-,-22.10%,49.20%,64.93%
SRCE,1.15,8.47,10.61,0.85,0.12,4.99,3.03%,14.30%,22.60%,13.80%,0.40%
ASRV,0.46,7.41,-,-,0.00,0.38,4.24%,6.20%,17.30%,-37.40%,4.30%
IBTK,,,,,,,,,,,
BSJN,-,-,-,-,-,-,4.70%,-,-,-,-
GHIX,,,,,,,,,,,
STBA,0.87,7.37,8.43,0.74,0.06,3.74,4.64%,-,21.90%,37.10%,0.50%
LGO,0.68,-,18.48,-,0.25,-0.02,-,-0.30%,-1.10%,32.30%,0.47%
AMAL,0.87,5.06,4.98,-,0.15,2.85,2.77%,14.40%,24.20%,56.70%,26.20%
BSCV,,,,,,,,,,,
LNZA,1.47,-,-,-,0.00,-0.46,-,-39.70%,-,-206.20%,11.80%
NMFC,0.92,15.09,8.32,10.13,-,0.80,10.60%,-,-,23.20%,10.76%
UBX,0.71,-,-,-,0.35,-5.02,-,-85.10%,-65.80%,72.90%,1.20%
AXNX,4.05,-,-,-,0.00,-0.99,-,-8.70%,-10.90%,62.10%,0.70%
ORGO,1.89,37.25,17.27,15.46,0.27,0.10,-,5.20%,5.20%,-219.50%,0.90%
TASK,2.18,28.25,7.51,3.21,0.56,0.38,-,8.50%,8.30%,-15.40%,2.10%
FNWD,,,,,,,,,,,
PERI,2.28,13.64,11.70,-,0.00,2.21,-,19.20%,16.20%,46.20%,36.50%
FNCB,0.86,5.82,-,-,0.08,0.95,6.50%,15.50%,37.10%,-37.90%,16.50%
PTGX,5.96,-,-,-,0.00,-2.83,-,-59.40%,-60.90%,-55.30%,1.60%
OXUSU,,,,,,,,,,,
SSP,0.41,7.03,3.41,0.70,1.73,1.18,-,-,7.70%,-445.80%,5.70%
SNTG,0.40,-,-,-,0.00,-1.08,-,-21.30%,-18.10%,-218.60%,62.36%
CIZ,-,-,-,-,-,-,2.01%,-,-,-,-
TWLVU,,,,,,,,,,,
FMHI,-,-,-,-,-,-,3.78%,-,-,-,-
CHB,-,-,-,-,-,-,0.49%,-,-,-,-
RDHL,-,-,-,-,-,-49.13,-,256.90%,-57.70%,89.80%,4.38%
CENN,0.32,-,-,-,0.00,-0.13,-,-,-6.20%,98.50%,37.12%
FTCS,-,-,-,-,-,-,1.42%,-,-,-,-
GOVX,0.70,-,-,-,0.00,-0.70,-,-57.30%,-,55.10%,0.20%
HSKA,2.98,-,772.26,-,0.23,-1.93,-,-4.80%,-3.30%,-0.20%,0.80%
NFTG,1.46,-,-,-,0.00,-0.15,-,-117.70%,-,-,22.36%
NVCR,17.37,-,-,-,1.31,-1.34,-,-32.00%,-10.00%,-,1.00%
LIAN,1.08,-,-,-,0.00,-0.99,-,-40.00%,-,13.20%,5.92%
BBH,-,-,-,-,-,-,0.74%,-,-,-,-
TW,2.86,45.93,28.35,3.47,0.00,1.50,0.52%,-,6.80%,4.40%,0.20%
XOMAO,2.35,23.45,-,-,-,1.00,8.92%,-,-,-,-
STEP,1.78,-,11.83,-,0.11,-0.33,3.73%,6.40%,49.10%,-114.20%,0.10%
MIST,3.23,-,-,-,0.88,-1.39,-,-83.50%,-,-5.20%,0.20%
BND,-,-,-,-,-,-,2.70%,-,-,-,-
JVA,0.38,-,-,-,0.34,-0.80,-,-17.20%,-12.80%,-289.50%,12.14%
ZIVO,-,-,-,-,-,-0.92,-,-,-,2.70%,8.60%
XRX,0.64,-,8.26,-,0.95,-1.35,7.09%,-6.00%,-4.30%,211.50%,0.30%
BPTS,0.11,-,-,-,5.22,-96.73,-,-666.60%,-,77.20%,-
CDRO,6.16,-,111.00,-,-,-1.14,-,-,-,-,67.65%
RGCO,2.00,-,17.30,-,1.37,-0.13,3.90%,-1.20%,-12.50%,122.20%,5.20%
DUOT,5.90,-,-,-,0.04,-0.95,-,-158.70%,-163.50%,39.40%,2.00%
IDAI,-,-,-,-,-,-2.67,-,-769.80%,-866.30%,-35.80%,35.63%
CCTS,,,,,,,,,,,
CNGL,,,,,,,,,,,
PLAO,,,,,,,,,,,
PRTS,2.00,-,-,-,0.17,-0.04,-,-1.80%,0.00%,-50.80%,4.80%
BIOS,1.37,67.50,32.91,6.75,0.00,0.16,-,2.10%,-,986.90%,3.73%
JYD,1.30,100.33,-,-,0.60,0.03,-,-,-3.50%,312.30%,-
ONYXU,,,,,,,,,,,
BHFAO,,,,,,,,,,,
CXAI,-,-,-,-,0.00,-0.55,-,-,-,-,0.14%
FPXE,,,,,,,,,,,
PEGRU,,,,,,,,,,,
SGC,0.75,-,7.64,-,0.74,-2.31,6.19%,-18.70%,-8.80%,-83.00%,6.30%
SKIN,7.31,-,14.73,-,4.98,-0.09,-,-4.50%,-2.80%,-181.70%,0.10%
KSCP,-,-,-,-,-,-0.49,-,50.40%,91.60%,81.10%,6.52%
MCBC,1.15,7.36,6.87,0.92,0.00,1.19,3.66%,16.50%,25.50%,99.80%,18.00%
MCHI,-,-,-,-,-,-,1.95%,-,-,-,-
EYE,2.25,73.79,35.72,6.83,0.63,0.35,-,3.40%,2.90%,-37.60%,0.10%
ARQQ,1.97,-,-,-,0.11,-0.12,-,-32.80%,-60.20%,40.80%,60.20%
CLMB,3.45,17.08,12.37,0.78,0.03,2.81,1.42%,21.90%,21.30%,36.60%,5.30%
ACBAU,,,,,,,,,,,
OSW,2.76,22.76,16.33,-,0.58,0.46,-,12.10%,2.50%,-148.50%,5.40%
BSET,0.63,5.50,7.18,0.34,0.00,2.50,4.65%,31.60%,13.30%,-63.10%,3.40%
WDAY,9.11,-,32.65,-,0.00,-1.44,-,-4.80%,-3.80%,100.10%,0.90%
BGRN,-,-,-,-,-,-,3.55%,-,-,-,-
SCAQU,,,,,,,,,,,
INDI,3.36,-,29.62,-,0.44,-1.00,-,-39.20%,-24.40%,-852.70%,1.30%
CYTK,-,-,-,-,-,-4.58,-,713.60%,-69.30%,-31.10%,0.70%
OCCI,0.95,-,6.64,-,-,-1.61,23.16%,-,-,-98.00%,7.67%
SEEL,-,-,-,-,-,-0.68,-,-,-,10.00%,2.81%
ATRA,2.61,-,-,-,0.01,-2.08,-,-135.20%,-214.10%,17.80%,1.50%
STBX,5.07,32.47,-,-,0.00,0.09,-,-,15.40%,43.30%,71.85%
CLOV,1.29,-,-,-,0.00,-0.70,-,-89.70%,-97.40%,5.00%,3.10%
AWIN,10.00,3.48,32.00,-,-,0.18,-,-,-,-,34.87%
CBSH,2.27,12.71,13.46,-,0.57,3.84,2.22%,19.10%,31.60%,3.10%,2.20%
CPRX,3.66,13.08,7.97,-,0.00,0.88,-,34.70%,26.70%,113.60%,5.90%
JCTCF,0.73,69.71,-,-,0.37,0.07,-,1.00%,5.00%,-459.60%,44.57%
GOOD,2.40,-,-,-,3.96,-0.10,10.55%,-2.00%,3.30%,-314.80%,1.43%
RCAT,0.75,-,-,-,0.02,-0.38,-,-28.60%,-16.30%,-118.10%,28.90%
BIGC,16.17,-,112.73,-,9.83,-1.70,-,-217.20%,-36.80%,41.60%,0.50%
PDBC,-,-,-,-,-,-,14.42%,-,-,-,-
PBPB,47.44,20.13,26.17,5.03,4.91,0.38,-,-,46.30%,83.50%,4.70%
